Player,Country,Season,Cum Mat Total,Cum Inns Total,Cum Runs Total,Cum Batting Ave,Cum SR,player_id
A Nortje,South Africa,2022,16,5,8,3.2,41.81,acdc62f5
A Nortje,South Africa,2022/23,22,7,9,2.43,35.58,acdc62f5
A Nortje,South Africa,2024,31,11,16,4.09,50.92,acdc62f5
A Orfila,Gibraltar,2019/20,0,0,0,0.0,0.0,7c6293d1
A Orfila,Gibraltar,2021,1,1,0,0.0,0.0,7c6293d1
A Osei,Ghana,2022/23,0,0,0,0.0,0.0,375322d1
A Osei,Ghana,2023/24,1,1,8,8.0,42.1,375322d1
A Osei,Ghana,2024,12,11,193,17.55,82.78,375322d1
A Otwani,Uganda,2019,0,0,0,0.0,0.0,6727fb4d
A Otwani,Uganda,2019/20,4,4,89,22.25,114.1,6727fb4d
A Otwani,Uganda,2021,7,7,141,20.14,112.61,6727fb4d
A Otwani,Uganda,2022,14,13,186,14.31,95.84,6727fb4d
A Parima,Cook Islands,2022,0,0,0,0.0,0.0,866d3ac8
A Parima,Cook Islands,2024,6,6,110,18.33,122.22,866d3ac8
A Paul,Estonia,2022,0,0,0,0.0,0.0,fa308279
A Paul,Estonia,2023,4,3,15,15.0,78.94,fa308279
A Paul,Estonia,2024,6,3,15,15.0,78.94,fa308279
A Poulose,Oman,2016/17,0,0,0,0.0,0.0,b481216d
A Prashar,Hungary,2023,0,0,0,0.0,0.0,b18dbaff
A Pusthay,Finland,2019,0,0,0,0.0,0.0,0393fbdc
A Pusthay,Finland,2021,5,5,72,14.4,120.0,0393fbdc
A Pusthay,Finland,2022,9,9,147,16.33,107.32,0393fbdc
A Rajshekara,Romania,2024,0,0,0,0.0,0.0,1f3e41fe
A Randhawa,Austria,2022,0,0,0,0.0,0.0,1798078c
A Randhawa,Austria,2023,8,7,170,28.33,105.59,1798078c
A Randhawa,Austria,2024,17,15,245,18.22,79.81,1798078c
A Rangaswamy,Botswana,2019,0,0,0,0.0,0.0,08df0bd3
A Rangaswamy,Botswana,2021/22,4,3,10,3.33,76.92,08df0bd3
A Reyes,Gibraltar,2021/22,0,0,0,0.0,0.0,fd2b8c06
A Reyes,Gibraltar,2022,3,1,0,0.0,0.0,fd2b8c06
A Reyes,Gibraltar,2023,9,6,87,18.13,72.5,fd2b8c06
A Reyes,Gibraltar,2023/24,16,11,118,12.7,66.64,fd2b8c06
A Reyes,Gibraltar,2024,20,13,141,14.29,74.08,fd2b8c06
A Sarma,Germany,2019,0,0,0,0.0,0.0,a5efce80
A Sarma,Germany,2019/20,3,3,57,19.0,85.07,a5efce80
A Sarma,Germany,2021,4,3,57,19.0,85.07,a5efce80
A Sathyan,Croatia,2024,0,0,0,0.0,0.0,ed47a68b
A Saud,Nepal,2022,0,0,0,0.0,0.0,94b8d7dd
A Sawyer,Gibraltar,2023/24,0,0,0,0.0,0.0,201d3a67
A Sawyer,Gibraltar,2024,2,0,0,0.0,0.0,201d3a67
A Shahi,Cyprus,2024,0,0,0,0.0,0.0,2011735e
A Shahzad,England,2009/10,0,0,0,0.0,0.0,a73321d3
A Shahzad,England,2010/11,1,0,0,0.0,0.0,a73321d3
A Sharafu,United Arab Emirates,2019/20,0,0,0,0.0,0.0,06cad4f0
A Sharafu,United Arab Emirates,2021/22,5,4,34,11.33,103.03,06cad4f0
A Sharafu,United Arab Emirates,2022/23,6,4,34,11.33,103.03,06cad4f0
A Sharafu,United Arab Emirates,2023/24,9,6,45,11.22,109.43,06cad4f0
A Sharafu,United Arab Emirates,2024,21,18,288,18.47,111.82,06cad4f0
A Sharma,United Arab Emirates,2023,0,0,0,0.0,0.0,5661ef90
A Sharma,United Arab Emirates,2023/24,9,9,256,32.0,110.34,5661ef90
A Sharma,United Arab Emirates,2024,11,11,290,29.27,106.13,5661ef90
A Shreshta,Nigeria,2021/22,0,0,0,0.0,0.0,4e9af8f6
A Shreshta,Nigeria,2022/23,12,12,165,13.75,85.49,4e9af8f6
A Shreshta,Nigeria,2023/24,19,18,351,24.67,94.8,4e9af8f6
A Shukla,Croatia,2024,0,0,0,0.0,0.0,c594137f
A Shukla,Hong Kong,2022,0,0,0,0.0,0.0,a1e80d06
A Shukla,Hong Kong,2023,7,3,1,0.5,16.66,a1e80d06
A Shukla,Hong Kong,2023/24,13,7,9,1.73,37.61,a1e80d06
A Shukla,Hong Kong,2024,25,10,15,2.11,38.33,a1e80d06
A Sokovagone,Fiji,2024,0,0,0,0.0,0.0,10e34eef
A Symonds,Australia,2004/05,0,0,0,0.0,0.0,bd77eb62
A Symonds,Australia,2005,1,1,32,32.0,246.15,bd77eb62
A Symonds,Australia,2005/06,2,2,32,16.0,123.07,bd77eb62
A Symonds,Australia,2006/07,3,3,86,28.67,151.28,bd77eb62
A Symonds,Australia,2007/08,4,4,125,31.25,157.78,bd77eb62
A Symonds,Australia,2009,13,10,337,44.3,157.33,bd77eb62
A Tripathi,Mexico,2019/20,0,0,0,0.0,0.0,07160156
A Tripathi,Mexico,2024,3,2,2,1.0,50.0,07160156
A Tripathi,Mexico,2024/25,7,4,4,1.0,35.0,07160156
