Player,profile_url,player_id
Bukhar Illikkal,https://www.espncricinfo.comhttps://www.espncricinfo.com/cricketers/bukhar-illikkal-1397989,1397989
NK Shetty,https://www.espncricinfo.comhttps://www.espncricinfo.com/cricketers/nithin-shetty-1182004,1182004
D Murphy,Not found,Not found
MJ Humphreys,https://www.espncricinfo.comhttps://www.espncricinfo.com/cricketers/matthew-humphreys-1263361,1263361
Anser Mehmood,https://www.espncricinfo.comhttps://www.espncricinfo.com/cricketers/anser-mehmood-1284224,1284224
DJ Bravo,https://www.espncricinfo.comhttps://www.espncricinfo.com/cricketers/dwayne-bravo-51439,51439
ZE Matsinhe,https://www.espncricinfo.comhttps://www.espncricinfo.com/cricketers/zefanias-matsinhe-1163161,1163161
CD Wallace,https://www.espncricinfo.comhttps://www.espncricinfo.com/cricketers/craig-wallace-414971,414971
D Kansonkho,Not found,Not found
Nazmul Islam,https://www.espncricinfo.comhttps://www.espncricinfo.com/cricketers/nazmul-islam-446810,446810
Rehan Ahmed,https://www.espncricinfo.comhttps://www.espncricinfo.com/cricketers/rehan-ahmed-1263691,1263691
K Shivam,Not found,Not found
F Thorpe,Not found,Not found
Yadwinder Singh,https://www.espncricinfo.comhttps://www.espncricinfo.com/cricketers/yadwinder-singh-1390686,1390686
Muhammad Siddiqui,https://www.espncricinfo.comhttps://www.espncricinfo.com/cricketers/shoaib-siddiqui-1325920,1325920
Abrar Bilal,https://www.espncricinfo.comhttps://www.espncricinfo.com/cricketers/abrar-bilal-1198872,1198872
Asif Khan,https://www.espncricinfo.comhttps://www.espncricinfo.com/cricketers/asif-khan-340870,340870
SG Shinde,https://www.espncricinfo.comhttps://www.espncricinfo.com/cricketers/sadu-shinde-33999,33999
AJ Mosca,https://www.espncricinfo.comhttps://www.espncricinfo.com/cricketers/anthony-mosca-1323416,1323416
BA Stokes,https://www.espncricinfo.comhttps://www.espncricinfo.com/cricketers/ben-stokes-311158,311158
R Telemachus,Not found,Not found
