team1_player1,team1_player2,team1_player3,team1_player4,team1_player5,team1_player6,team1_player7,team1_player8,team1_player9,team1_player10,team1_player11,team2_players1,team2_players2,team2_players3,team2_players4,team2_players5,team2_players6,team2_players7,team2_players8,team2_players9,team2_players10,team2_players11,match_id
Mohammad Shahzad,Nawroz Mangal,Asghar Stanikzai,Samiullah Shenwari,Mohammad Nabi,Karim Janat,Gulbadin Naib,Najibullah Zadran,Rashid Khan,Amir Hamza,Fareed Ahmad,PR Stirling,SW Poynter,WTS Porterfield,KJ O'Brien,GC Wilson,GJ Thompson,AR McBrine,GH Dockrell,J Mulder,WB Rankin,CA Young,1074971
Q de Kock,HM Amla,AB de Villiers,JP Duminy,DA Miller,F Behardien,AL Phehlukwayo,R Frylinck,AM Phangiso,D Paterson,BE Hendricks,Imrul Kayes,Soumya Sarkar,Shakib Al Hasan,Mushfiqur Rahim,Sabbir Rahman,Mahmudullah,Mohammad Saifuddin,Mehedi Hasan Miraz,Taskin Ahmed,Shafiul Islam,Rubel Hossain,1075507
HM Amla,M Mosehle,JP Duminy,AB de Villiers,DA Miller,F Behardien,AL Phehlukwayo,R Frylinck,AM Phangiso,BE Hendricks,D Pretorius,Imrul Kayes,Soumya Sarkar,Shakib Al Hasan,Mushfiqur Rahim,Sabbir Rahman,Mahmudullah,Liton Das,Mohammad Saifuddin,Mehedi Hasan Miraz,Taskin Ahmed,Rubel Hossain,1075508
Kamran Akmal,Ahmed Shehzad,Babar Azam,Mohammad Hafeez,Shoaib Malik,Sarfraz Ahmed,Imad Wasim,Shadab Khan,Sohail Tanvir,Wahab Riaz,Hasan Ali,E Lewis,CAK Walton,MN Samuels,LMP Simmons,KA Pollard,SP Narine,R Powell,CR Brathwaite,JO Holder,S Badree,KOK Williams,1077947
Kamran Akmal,Ahmed Shehzad,Babar Azam,Shoaib Malik,Fakhar Zaman,Sarfraz Ahmed,Imad Wasim,Sohail Tanvir,Shadab Khan,Wahab Riaz,Hasan Ali,E Lewis,CAK Walton,MN Samuels,LMP Simmons,KA Pollard,R Powell,CR Brathwaite,JO Holder,SP Narine,S Badree,KOK Williams,1077948
Tamim Iqbal,Soumya Sarkar,Sabbir Rahman,Mushfiqur Rahim,Shakib Al Hasan,Mosaddek Hossain,Mahmudullah,Mashrafe Mortaza,Mohammad Saifuddin,Mustafizur Rahman,Taskin Ahmed,MDKJ Perera,WU Tharanga,EMDY Munaweera,DAS Gunaratne,S Prasanna,NLTC Perera,CK Kapugedera,TAM Siriwardana,KMDN Kulasekara,SL Malinga,JRMVB Sanjaya,1083449
Imrul Kayes,Soumya Sarkar,Sabbir Rahman,Shakib Al Hasan,Mosaddek Hossain,Mahmudullah,Mushfiqur Rahim,Mashrafe Mortaza,Mehedi Hasan Miraz,Mohammad Saifuddin,Mustafizur Rahman,MDKJ Perera,EMDY Munaweera,WU Tharanga,CK Kapugedera,DAS Gunaratne,TAM Siriwardana,NLTC Perera,S Prasanna,KMDN Kulasekara,SL Malinga,JRMVB Sanjaya,1083450
Ahmed Shehzad,Kamran Akmal,Imad Wasim,Babar Azam,Shoaib Malik,Fakhar Zaman,Sarfraz Ahmed,Wahab Riaz,Sohail Tanvir,Shadab Khan,Hasan Ali,E Lewis,CAK Walton,MN Samuels,JN Mohammed,LMP Simmons,KA Pollard,CR Brathwaite,JO Holder,SP Narine,S Badree,KOK Williams,1085495
Ahmed Shehzad,Kamran Akmal,Babar Azam,Shoaib Malik,Sarfraz Ahmed,Imad Wasim,Fakhar Zaman,Rumman Raees,Wahab Riaz,Shadab Khan,Hasan Ali,E Lewis,CAK Walton,MN Samuels,JN Mohammed,LMP Simmons,KA Pollard,CR Brathwaite,JO Holder,SP Narine,S Badree,KOK Williams,1085496
HC Knight,TT Beaumont,SJ Taylor,NR Sciver,KH Brunt,DN Wyatt,FC Wilson,JL Gunn,D Hazell,S Ecclestone,A Hartley,AJ Healy,BL Mooney,EJ Villani,A Gardner,EA Perry,RL Haynes,DM Kimmince,A Wellington,JL Jonassen,SE Aley,ML Schutt,1086067
DN Wyatt,TT Beaumont,SJ Taylor,NR Sciver,KH Brunt,HC Knight,FC Wilson,JL Gunn,S Ecclestone,A Shrubsole,D Hazell,BL Mooney,AJ Healy,EJ Villani,EA Perry,RL Haynes,A Gardner,DM Kimmince,JL Jonassen,SE Aley,M Strano,ML Schutt,1086068
BL Mooney,AJ Healy,EJ Villani,EA Perry,RL Haynes,A Gardner,DM Kimmince,JL Jonassen,A Wellington,M Strano,ML Schutt,DN Wyatt,TT Beaumont,SJ Taylor,NR Sciver,HC Knight,KH Brunt,FC Wilson,JL Gunn,S Ecclestone,A Shrubsole,D Hazell,1086069
TP Ura,VV Morea,L Siaka,A Vala,S Bau,MD Dai,JNT Vare,JB Reva,N Vanua,A Nao,WT Gavera,Rohan Mustafa,Mohammad Naveed,Shaiman Anwar,Rameez Shahzad,Muhammad Usman,Mohammed Qasim,Ghulam Shabber,Ahmed Raza,Imran Haider,Sultan Ahmed (2),Amjad Javed,1089202
TP Ura,L Siaka,A Vala,MD Dai,S Bau,JNT Vare,JB Reva,CA Soper,N Vanua,A Nao,WT Gavera,Rohan Mustafa,Mohammad Naveed,Shaiman Anwar,Mohammed Qasim,Rameez Shahzad,Amjad Javed,Muhammad Usman,Ahmed Raza,Imran Haider,Sultan Ahmed (2),Ghulam Shabber,1089203
TP Ura,L Siaka,A Vala,MD Dai,S Bau,JNT Vare,N Vanua,JB Reva,WT Gavera,CA Soper,D Bau,Rohan Mustafa,L Sreekumar,Shaiman Anwar,Muhammad Usman,Rameez Shahzad,Adnan Mufti,Ghulam Shabber,Ahmed Raza,Zahoor Khan,Mohammad Naveed,Amjad Javed,1089243
Usman Ghani,Gulbadin Naib,Asghar Stanikzai,Karim Janat,Samiullah Shenwari,Mohammad Nabi,Rashid Khan,Shafiqullah,Najibullah Zadran,Amir Hamza,Shapoor Zadran,CAK Walton,E Lewis,MN Samuels,LMP Simmons,JN Mohammed,R Powell,CR Brathwaite,JE Taylor,SP Narine,S Badree,KOK Williams,1089776
Gulbadin Naib,Noor Ali Zadran,Asghar Stanikzai,Samiullah Shenwari,Mohammad Nabi,Karim Janat,Shafiqullah,Najibullah Zadran,Rashid Khan,Dawlat Zadran,Amir Hamza,CAK Walton,E Lewis,MN Samuels,LMP Simmons,CR Brathwaite,JN Mohammed,R Powell,JE Taylor,SP Narine,S Badree,KOK Williams,1089777
Noor Ali Zadran,Javed Ahmadi,Asghar Stanikzai,Mohammad Nabi,Karim Janat,Shafiqullah,Najibullah Zadran,Gulbadin Naib,Rashid Khan,Shapoor Zadran,Amir Hamza,CAK Walton,E Lewis,MN Samuels,LMP Simmons,JN Mohammed,R Powell,CR Brathwaite,JE Taylor,SP Narine,S Badree,KOK Williams,1089778
