team1_player1,team1_player2,team1_player3,team1_player4,team1_player5,team1_player6,team1_player7,team1_player8,team1_player9,team1_player10,team1_player11,team2_players1,team2_players2,team2_players3,team2_players4,team2_players5,team2_players6,team2_players7,team2_players8,team2_players9,team2_players10,team2_players11,match_id
C Kieswetter,AD Hales,RS Bopara,EJG Morgan,JC Buttler,JM Bairstow,SR Patel,GP Swann,SCJ Broad,JW Dernbach,ST Finn,DR Smith,CH Gayle,LMP Simmons,MN Samuels,DJ Bravo,KA Pollard,D Ramdin,DJG Sammy,R Rampaul,SP Narine,FH Edwards,534208
C Kieswetter,AD Hales,RS Bopara,EJG Morgan,JM Bairstow,JC Buttler,SR Patel,SCJ Broad,GP Swann,ST Finn,JW Dernbach,RE Levi,JH Kallis,F du Plessis,AB de Villiers,JP Duminy,JL Ontong,JA Morkel,J Botha,RJ Peterson,DW Steyn,LL Tsotsobe,534233
C Kieswetter,MJ Lumb,LJ Wright,EJG Morgan,JC Buttler,JM Bairstow,TT Bresnan,GP Swann,SCJ Broad,DR Briggs,JW Dernbach,RE Levi,HM Amla,F du Plessis,AB de Villiers,JA Morkel,JL Ontong,JH Kallis,J Botha,RJ Peterson,WD Parnell,M Morkel,534235
Naeem Islam,Imrul Kayes,Alok Kapali,Shakib Al Hasan,Mushfiqur Rahim,Mahmudullah,Nasir Hossain,Farhad Reza,Abdur Razzak,Shafiul Islam,Rubel Hossain,Mohammad Hafeez,Imran Farhat,Asad Shafiq,Umar Akmal,Misbah-ul-Haq,Shoaib Malik,Shahid Afridi,Sohail Tanvir,Umar Gul,Saeed Ajmal,Aizaz Cheema,538068
DA Warner,SR Watson,MEK Hussey,GJ Bailey,MS Wade,DJ Hussey,DT Christian,CJ McKay,XJ Doherty,B Lee,JL Pattinson,J Charles,DR Smith,NE Bonner,DM Bravo,KA Pollard,DJ Bravo,DJG Sammy,CS Baugh,GE Mathurin,K Santokie,SP Narine,540173
DA Warner,SR Watson,GJ Bailey,MEK Hussey,DJ Hussey,MS Wade,DT Christian,B Lee,CJ McKay,JL Pattinson,XJ Doherty,DR Smith,J Charles,KA Pollard,DJ Bravo,DJG Sammy,DP Hyatt,MN Samuels,CS Baugh,SP Narine,GE Mathurin,FH Edwards,540174
CM Edwards,LA Marsh,SJ Taylor,LS Greenway,A Brindle,JL Gunn,TT Beaumont,DN Wyatt,SE Rowe,KH Brunt,HL Colvin,A Sharma,PG Raut,M Raj,H Kaur,V Krishnamurthy,S Naik,J Goswami,MR Meshram,N Niranjana,A Das,G Sultana,542850
CM Edwards,LA Marsh,SJ Taylor,LS Greenway,A Brindle,JL Gunn,TT Beaumont,DN Wyatt,SE Rowe,KH Brunt,HL Colvin,A Sharma,PG Raut,M Raj,H Kaur,MR Meshram,S Naik,J Goswami,N Niranjana,E Bisht,A Das,G Sultana,542851
WTS Porterfield,PR Stirling,AR Cusack,KJ O'Brien,EC Joyce,JF Mooney,RD McCann,DT Johnston,GH Dockrell,MC Sorensen,WB Rankin,MA Ouma,DI Allan,CO Obuya,T Mishra,RR Patel,RG Aga,AA Obanda,NN Odhiambo,SO Ngoche,E Otieno,JO Ngoche,543883
WTS Porterfield,PR Stirling,KJ O'Brien,GC Wilson,AR White,JF Mooney,RD McCann,DT Johnston,NG Jones,GH Dockrell,MC Sorensen,DO Obuya,DI Allan,CO Obuya,T Mishra,RR Patel,RG Aga,AA Obanda,NN Odhiambo,NM Odhiambo,HA Varaiya,JO Ngoche,543884
WTS Porterfield,PR Stirling,KJ O'Brien,GC Wilson,EC Joyce,JF Mooney,NG Jones,AR White,RD McCann,WB Rankin,GH Dockrell,DO Obuya,DI Allan,CO Obuya,T Mishra,RR Patel,RG Aga,AA Obanda,NM Odhiambo,SO Ngoche,HA Varaiya,JO Ngoche,543885
H Patel,R Gunasekera,Raza-ur-Rehman,Rizwan Cheema,NR Kumar,AS Hansra,HS Baidwan,RA Bhatti,Junaid Siddiqui,H Osinde,Zahid Hussain,SJ Myburgh,MR Swart,TLW Cooper,AN Kervezee,W Barresi,PW Borren,Mudassar Bukhari,TN de Grooth,T van der Gugten,Ahsan Malik,PM Seelaar,546410
WTS Porterfield,PR Stirling,AR Cusack,KJ O'Brien,EC Joyce,GC Wilson,JF Mooney,AR White,DT Johnston,WB Rankin,GH Dockrell,DI Allan,AA Obanda,NN Odhiambo,CO Obuya,T Mishra,RR Patel,RG Aga,DO Obuya,SO Ngoche,HA Varaiya,JO Ngoche,546414
Karim Sadiq,Gulbadin Naib,Mohammad Shahzad,Nawroz Mangal,Mohammad Nabi,Samiullah Shenwari,Mirwais Ashraf,Noor Ali Zadran,Javed Ahmadi,Izatullah Dawlatzai,Dawlat Zadran,SJ Myburgh,MR Swart,TLW Cooper,AN Kervezee,W Barresi,PW Borren,Mudassar Bukhari,TN de Grooth,PM Seelaar,T van der Gugten,Ahsan Malik,546418
WTS Porterfield,PR Stirling,EC Joyce,AR Cusack,KJ O'Brien,GC Wilson,JF Mooney,MC Sorensen,DT Johnston,WB Rankin,GH Dockrell,RD Berrington,CS MacLeod,PL Mommsen,KJ Coetzer,DF Watts,JH Stander,R Flannigan,CD Wallace,RM Haq,SM Sharif,MA Parker,546442
Karim Sadiq,Shabir Noori,Mohammad Shahzad,Nawroz Mangal,Samiullah Shenwari,Mohammad Nabi,Gulbadin Naib,Mirwais Ashraf,Dawlat Zadran,Zamir Khan,Izatullah Dawlatzai,H Patel,R Gunasekera,Junaid Siddiqui,NR Kumar,AS Hansra,Rizwan Cheema,TG Gordon,HS Baidwan,RA Bhatti,H Osinde,Zahid Hussain,546443
R Gunasekera,H Patel,NR Kumar,AS Hansra,Rizwan Cheema,TG Gordon,HS Baidwan,RA Bhatti,Junaid Siddiqui,H Osinde,Zahid Hussain,WTS Porterfield,PR Stirling,EC Joyce,GC Wilson,KJ O'Brien,AD Poynter,AR White,MC Sorensen,GH Dockrell,WB Rankin,DT Johnston,546462
WTS Porterfield,PR Stirling,EC Joyce,GC Wilson,KJ O'Brien,AD Poynter,MC Sorensen,GH Dockrell,WB Rankin,DT Johnston,AR White,SJ Myburgh,MR Swart,AN Kervezee,TLW Cooper,W Barresi,Mudassar Bukhari,PW Borren,TN de Grooth,TGJ Gruijters,PM Seelaar,T van der Gugten,546470
R Gunasekera,Rizwan Cheema,H Patel,NR Kumar,TG Gordon,AS Hansra,HS Baidwan,Junaid Siddiqui,RA Bhatti,PA Desai,MS Aulakh,RD Berrington,CS MacLeod,PL Mommsen,KJ Coetzer,JH Stander,DF Watts,R Flannigan,RM Haq,SJS Smith,GD Drummond,MM Iqbal,546473
Karim Sadiq,Javed Ahmadi,Mohammad Shahzad,Mirwais Ashraf,Nawroz Mangal,Samiullah Shenwari,Mohammad Nabi,Gulbadin Naib,Aftab Alam,Dawlat Zadran,Izatullah Dawlatzai,WTS Porterfield,PR Stirling,EC Joyce,GC Wilson,KJ O'Brien,AD Poynter,AR White,GH Dockrell,WB Rankin,DT Johnston,MC Sorensen,546477
CM Edwards,LA Marsh,SJ Taylor,A Brindle,DN Wyatt,TT Beaumont,JL Gunn,SE Rowe,KH Brunt,HL Colvin,A Shrubsole,JB Nero,Kycia A Knight,MR Aguilleira,DJS Dottin,SA Campbelle,SF Daley,B Cooper,SACA King,TD Smartt,A Mohammed,SC Selman,551593
CM Edwards,LA Marsh,SJ Taylor,A Brindle,DN Wyatt,JL Gunn,TT Beaumont,SE Rowe,KH Brunt,HL Colvin,A Shrubsole,JB Nero,TD Smartt,MR Aguilleira,SF Daley,DJS Dottin,B Cooper,SACA King,SA Campbelle,A Mohammed,SL Munroe,SL Quintyne,551594
CM Edwards,LA Marsh,SJ Taylor,LS Greenway,DN Wyatt,A Brindle,JL Gunn,TT Beaumont,KH Brunt,HL Colvin,A Shrubsole,SR Taylor,TD Smartt,MR Aguilleira,SACA King,SA Campbelle,DJS Dottin,SF Daley,B Cooper,SL Quintyne,A Mohammed,SC Selman,551595
CM Edwards,LA Marsh,SJ Taylor,LS Greenway,A Brindle,DN Wyatt,JL Gunn,TT Beaumont,KH Brunt,HL Colvin,D Hazell,SR Taylor,JB Nero,DJS Dottin,SA Campbelle,MR Aguilleira,B Cooper,SF Daley,SL Quintyne,A Mohammed,SC Selman,SL Munroe,551596
TT Beaumont,DN Wyatt,SJ Taylor,JL Gunn,A Brindle,KH Brunt,HC Knight,D Hazell,A Shrubsole,HL Colvin,CM Edwards,SR Taylor,TD Smartt,DJS Dottin,B Cooper,SACA King,JB Nero,SA Campbelle,Kycia A Knight,MR Aguilleira,SC Selman,A Mohammed,551597
RV Uthappa,G Gambhir,V Kohli,RG Sharma,SK Raina,MS Dhoni,YK Pathan,IK Pathan,R Ashwin,P Kumar,R Vinay Kumar,RE Levi,JH Kallis,CA Ingram,F Behardien,JL Ontong,JA Morkel,J Botha,DJ Vilas,WD Parnell,J Theron,LL Tsotsobe,556252
RJ Nicol,MJ Guptill,LRPL Taylor,KS Williamson,TG Southee,TWM Latham,JDP Oram,DG Brownlie,NL McCullum,DAJ Bracewell,RM Hira,DR Smith,CH Gayle,J Charles,KA Pollard,MN Samuels,DJ Bravo,D Ramdin,DJG Sammy,S Badree,SP Narine,FH Edwards,560921
RJ Nicol,MJ Guptill,TG Southee,KS Williamson,DR Flynn,DG Brownlie,TWM Latham,NL McCullum,AM Ellis,DAJ Bracewell,KD Mills,DR Smith,CH Gayle,J Charles,LMP Simmons,DJG Sammy,DJ Bravo,MN Samuels,D Ramdin,S Badree,SP Narine,FH Edwards,560922
Mohammad Hafeez,Ahmed Shehzad,Shakeel Ansar,Khalid Latif,Shoaib Malik,Umar Akmal,Shahid Afridi,Sohail Tanvir,Umar Gul,Mohammad Sami,Saeed Ajmal,DPMD Jayawardene,TM Dilshan,KC Sangakkara,LD Chandimal,AD Mathews,HDRL Thirimanne,KS Lokuarachchi,NLTC Perera,KMDN Kulasekara,SMSM Senanayake,SL Malinga,562437
Mohammad Hafeez,Ahmed Shehzad,Khalid Latif,Umar Akmal,Shoaib Malik,Shahid Afridi,Yasir Arafat,Sohail Tanvir,Shakeel Ansar,Saeed Ajmal,Mohammad Sami,KC Sangakkara,TM Dilshan,KMDN Kulasekara,CK Kapugedera,LD Chandimal,HDRL Thirimanne,AD Mathews,NLTC Perera,KS Lokuarachchi,SMSM Senanayake,I Udana,562438
G Gambhir,AM Rahane,V Kohli,SK Raina,MS Dhoni,RG Sharma,MK Tiwary,IK Pathan,R Ashwin,UT Yadav,AB Dinda,DPMD Jayawardene,TM Dilshan,WU Tharanga,HDRL Thirimanne,AD Mathews,BMAJ Mendis,LD Chandimal,NLTC Perera,RMS Eranga,SL Malinga,HMRKB Herath,564786
MJ Lumb,AD Hales,LJ Wright,EJG Morgan,SR Patel,JC Buttler,TT Bresnan,JC Tredwell,SC Meaker,DR Briggs,JW Dernbach,G Gambhir,AM Rahane,V Kohli,Yuvraj Singh,SK Raina,MS Dhoni,RA Jadeja,R Ashwin,PP Chawla,AB Dinda,P Awana,565810
MJ Lumb,AD Hales,LJ Wright,EJG Morgan,SR Patel,JC Buttler,JE Root,TT Bresnan,JC Tredwell,SC Meaker,JW Dernbach,G Gambhir,AM Rahane,V Kohli,Yuvraj Singh,RG Sharma,SK Raina,MS Dhoni,R Ashwin,PP Chawla,AB Dinda,P Awana,565811
G Gambhir,V Kohli,SK Raina,Yuvraj Singh,MS Dhoni,RG Sharma,MK Tiwary,IK Pathan,R Ashwin,Z Khan,L Balaji,RJ Nicol,MJ Guptill,BB McCullum,KS Williamson,LRPL Taylor,JEC Franklin,JDP Oram,DL Vettori,RM Hira,AF Milne,KD Mills,565820
CM Edwards,LA Marsh,SJ Taylor,A Brindle,DN Wyatt,JL Gunn,TT Beaumont,SE Rowe,KH Brunt,HL Colvin,A Shrubsole,Nida Dar,Qanita Jalil,Sana Mir,Nain Abidi,Bismah Maroof,Javeria Khan,Asmavia Iqbal,Marina Iqbal,Nahida Khan,Batool Fatima,Sadia Yousuf,565844
CM Edwards,LA Marsh,SJ Taylor,A Brindle,DN Wyatt,JL Gunn,TT Beaumont,SE Rowe,KH Brunt,HL Colvin,A Shrubsole,Nain Abidi,Nida Dar,Sana Mir,Bismah Maroof,Asmavia Iqbal,Javeria Khan,Marina Iqbal,Batool Fatima,Nahida Khan,Qanita Jalil,Sadia Yousuf,565845
MJ Lumb,AD Hales,LJ Wright,EJG Morgan,RS Bopara,JC Buttler,BA Stokes,CR Woakes,JC Tredwell,JW Dernbach,WB Rankin,HD Rutherford,JEC Franklin,BB McCullum,LRPL Taylor,TWM Latham,C Munro,IG Butler,NL McCullum,CJ Anderson,MJ McClenaghan,RM Hira,566926
DA Warner,AJ Finch,SE Marsh,SR Watson,GJ Maxwell,GJ Bailey,MS Wade,JP Faulkner,MG Johnson,JR Hazlewood,Fawad Ahmed,MJ Lumb,AD Hales,LJ Wright,EJG Morgan,JE Root,RS Bopara,JC Buttler,SCJ Broad,ST Finn,DR Briggs,JW Dernbach,566937
DA Warner,AJ Finch,SR Watson,SE Marsh,GJ Bailey,GJ Maxwell,MS Wade,JP Faulkner,MG Johnson,NM Coulter-Nile,Fawad Ahmed,MJ Lumb,AD Hales,LJ Wright,EJG Morgan,JC Buttler,RS Bopara,JE Root,SCJ Broad,ST Finn,DR Briggs,JW Dernbach,566938
Tamim Iqbal,Mohammad Ashraful,Shakib Al Hasan,Mushfiqur Rahim,Mahmudullah,Ziaur Rahman,Nasir Hossain,Abdur Razzak,Mashrafe Mortaza,Abul Hasan,Elias Sunny,WTS Porterfield,PR Stirling,EC Joyce,NJ O'Brien,KJ O'Brien,GC Wilson,JF Mooney,AR Cusack,DT Johnston,MC Sorensen,WB Rankin,567071
Tamim Iqbal,Junaid Siddique,Shakib Al Hasan,Mushfiqur Rahim,Mahmudullah,Nasir Hossain,Ziaur Rahman,Mashrafe Mortaza,Nazmul Hossain,Abdur Razzak,Elias Sunny,MR Swart,W Barresi,TLW Cooper,ES Szwarczynski,PW Borren,TN de Grooth,Mudassar Bukhari,TGJ Gruijters,PM Seelaar,T van der Gugten,Ahsan Malik,567205
RJ Nicol,PG Fulton,BB McCullum,JEC Franklin,C Munro,CJ Anderson,NL McCullum,JDS Neesham,DAJ Bracewell,RM Hira,MJ McClenaghan,RE Levi,H Davids,F du Plessis,Q de Kock,F Behardien,DA Miller,RJ Peterson,R McLaren,DW Steyn,CH Morris,RK Kleinveldt,567353
MJ Guptill,RJ Nicol,BB McCullum,C Munro,JEC Franklin,CJ Anderson,NL McCullum,JDS Neesham,DAJ Bracewell,RM Hira,MJ McClenaghan,RE Levi,H Davids,F du Plessis,DA Miller,F Behardien,RJ Peterson,Q de Kock,R McLaren,M Morkel,RK Kleinveldt,AM Phangiso,567354
RJ Nicol,MJ Guptill,BB McCullum,C Munro,JEC Franklin,JDS Neesham,NL McCullum,CJ Anderson,DAJ Bracewell,RM Hira,MJ McClenaghan,H Davids,F du Plessis,Q de Kock,JL Ontong,DA Miller,F Behardien,RK Kleinveldt,RJ Peterson,R McLaren,AM Phangiso,M Morkel,567355
Nasir Jamshed,Ahmed Shehzad,Mohammad Hafeez,Umar Akmal,Shoaib Malik,Shahid Afridi,Kamran Akmal,Umar Gul,Saeed Ajmal,Junaid Khan,Mohammad Irfan,AB de Villiers,H Davids,F du Plessis,CH Morris,JL Ontong,F Behardien,DA Miller,RJ Peterson,RK Kleinveldt,KJ Abbott,LL Tsotsobe,567367
MJ Lumb,AD Hales,LJ Wright,EJG Morgan,JM Bairstow,JC Buttler,SR Patel,SCJ Broad,JC Tredwell,ST Finn,JW Dernbach,HD Rutherford,MJ Guptill,BB McCullum,LRPL Taylor,C Munro,JEC Franklin,NL McCullum,AM Ellis,RM Hira,TA Boult,MJ McClenaghan,569237
MJ Lumb,AD Hales,LJ Wright,JM Bairstow,EJG Morgan,JC Buttler,SR Patel,SCJ Broad,JC Tredwell,ST Finn,JW Dernbach,MJ Guptill,HD Rutherford,BB McCullum,LRPL Taylor,C Munro,GD Elliott,JEC Franklin,NL McCullum,IG Butler,TA Boult,MJ McClenaghan,569238
MJ Lumb,AD Hales,LJ Wright,EJG Morgan,JM Bairstow,JC Buttler,JE Root,SCJ Broad,JC Tredwell,ST Finn,JW Dernbach,HD Rutherford,MJ Guptill,BB McCullum,LRPL Taylor,GD Elliott,C Munro,JEC Franklin,NL McCullum,IG Butler,TA Boult,MJ McClenaghan,569239
SR Watson,DA Warner,MEK Hussey,GJ Bailey,DJ Hussey,CL White,MS Wade,GJ Maxwell,PJ Cummins,XJ Doherty,BW Hilfenhaus,Mohammad Hafeez,Imran Nazir,Nasir Jamshed,Kamran Akmal,Shoaib Malik,Umar Akmal,Abdul Razzaq,Sohail Tanvir,Raza Hasan,Umar Gul,Saeed Ajmal,571148
DA Warner,SR Watson,GJ Maxwell,MEK Hussey,GJ Bailey,CL White,DT Christian,MS Wade,PJ Cummins,GB Hogg,MA Starc,Mohammad Hafeez,Imran Nazir,Nasir Jamshed,Shoaib Malik,Kamran Akmal,Umar Akmal,Abdul Razzaq,Yasir Arafat,Umar Gul,Saeed Ajmal,Raza Hasan,571150
DA Warner,AJ Finch,SE Marsh,GJ Bailey,AC Voges,MS Wade,GJ Maxwell,BCJ Cutting,MA Starc,XJ Doherty,B Laughlin,MDKJ Perera,TM Dilshan,DPMD Jayawardene,LD Chandimal,AD Mathews,HDRL Thirimanne,NLTC Perera,BMAJ Mendis,KMDN Kulasekara,BAW Mendis,SL Malinga,573019
AJ Finch,DA Warner,SE Marsh,GJ Bailey,GJ Maxwell,MS Wade,AC Voges,JP Faulkner,MA Starc,XJ Doherty,B Laughlin,TM Dilshan,MDKJ Perera,LD Chandimal,DPMD Jayawardene,BMAJ Mendis,NLTC Perera,AD Mathews,KMDN Kulasekara,BAW Mendis,SL Malinga,A Dananjaya,573020
AJ Finch,SE Marsh,AC Voges,GJ Bailey,BJ Rohrer,BJ Haddin,JP Faulkner,BCJ Cutting,NM Coulter-Nile,CJ McKay,JR Hazlewood,CH Gayle,J Charles,DM Bravo,KA Pollard,DJ Bravo,AD Russell,DJG Sammy,N Deonarine,DC Thomas,SP Narine,TL Best,573027
Tamim Iqbal,Junaid Siddique,Shakib Al Hasan,Mushfiqur Rahim,Mahmudullah,Ziaur Rahman,Nasir Hossain,Jahurul Islam,Abdur Razzak,Shafiul Islam,Elias Sunny,W Barresi,MR Swart,TLW Cooper,PW Borren,TN de Grooth,ES Szwarczynski,Mudassar Bukhari,TGJ Gruijters,PM Seelaar,T van der Gugten,Ahsan Malik,573672
S Naik,PG Raut,M Raj,H Kaur,J Goswami,R Malhotra,A Sharma,N Niranjana,AA Patil,RK Parwin,E Bisht,SI Galagedara,PM Weerakkody,AC Jayangani,HASD Siriwardene,BYA Mendis,MADD Surangika,LE Kaushalya,CR Seneviratna,SK Dolawatte,KDU Prabodhani,I Ranaweera,584772
Lata Mondal,Fargana Hoque,Tazia Akhter,Salma Khatun,Rumana Ahmed,Ritu Moni,Panna Ghosh,Jahanara Alam,Nuzhat Tasnia,Lily Rani Biswas,Khadija Tul Kubra,AC Jayangani,LE Kaushalya,SI Galagedara,CR Seneviratna,SK Dolawatte,HASD Siriwardene,MADD Surangika,HMD Rasangika,SS Weerakkody,I Ranaweera,KDU Prabodhani,584923
S Naik,AA Patil,M Raj,H Kaur,A Sharma,PG Raut,J Goswami,R Malhotra,N Niranjana,A Das,E Bisht,Bismah Maroof,Marina Iqbal,Sana Mir,Nain Abidi,Javeria Khan,Asmavia Iqbal,Qanita Jalil,Mariam Hasan,Nahida Khan,Rabiya Shah,Sadia Yousuf,584924
Fargana Hoque,Sanjida Islam,Rumana Ahmed,Lata Mondal,Salma Khatun,Tazia Akhter,Jahanara Alam,Shukhtara Rahman,Panna Ghosh,Khadija Tul Kubra,Nuzhat Tasnia,Qanita Jalil,Bismah Maroof,Sana Mir,Nida Dar,Javeria Khan,Nain Abidi,Asmavia Iqbal,Batool Fatima,Mariam Hasan,Sadia Yousuf,Marina Iqbal,584928
S Naik,AA Patil,PG Raut,H Kaur,A Sharma,R Malhotra,N Niranjana,S Sharma,MR Meshram,A Das,E Bisht,Qanita Jalil,Bismah Maroof,Sana Mir,Nida Dar,Javeria Khan,Nain Abidi,Marina Iqbal,Asmavia Iqbal,Mariam Hasan,Batool Fatima,Sadia Yousuf,584929
Tamim Iqbal,Anamul Haque,Mahmudullah,Mominul Haque,Mushfiqur Rahim,Nasir Hossain,Sohag Gazi,Abdur Razzak,Shafiul Islam,Rubel Hossain,Ziaur Rahman,DR Smith,CH Gayle,MN Samuels,DM Bravo,KA Pollard,LMP Simmons,DJG Sammy,DC Thomas,AD Russell,SP Narine,KAJ Roach,587476
SA Fritz,TS Cordes,M du Preez,M Kapp,C Brits,D van Niekerk,SM Benade,CL Tryon,E Theunissen,MM Letsoalo,S Loubser,Kycia A Knight,SR Taylor,SA Campbelle,DJS Dottin,SF Daley,MR Aguilleira,Kyshona A Knight,A Mohammed,JB Nero,SC Selman,SL Quintyne,588498
SA Fritz,TS Cordes,M du Preez,M Kapp,C Brits,T Chetty,D van Niekerk,Y Potgieter,MM Letsoalo,D Devnarain,CL Tryon,JB Nero,NY McLean,Kyshona A Knight,SA Campbelle,DJS Dottin,SF Daley,MR Aguilleira,SC Selman,SL Quintyne,SL Munroe,A Mohammed,588499
G Gambhir,AM Rahane,V Kohli,Yuvraj Singh,MS Dhoni,SK Raina,RG Sharma,RA Jadeja,B Kumar,I Sharma,AB Dinda,Nasir Jamshed,Ahmed Shehzad,Mohammad Hafeez,Umar Akmal,Shoaib Malik,Kamran Akmal,Shahid Afridi,Sohail Tanvir,Umar Gul,Saeed Ajmal,Mohammad Irfan,589306
G Gambhir,AM Rahane,V Kohli,Yuvraj Singh,MS Dhoni,SK Raina,RG Sharma,B Kumar,R Ashwin,I Sharma,AB Dinda,Nasir Jamshed,Ahmed Shehzad,Umar Akmal,Mohammad Hafeez,Shahid Afridi,Kamran Akmal,Shoaib Malik,Umar Gul,Sohail Tanvir,Saeed Ajmal,Mohammad Irfan,589307
H Patel,Rizwan Cheema,R Gunasekera,NR Kumar,Raza-ur-Rehman,AS Hansra,Usman Limbada,H Osinde,Junaid Siddiqui,MS Aulakh,Hamza Tariq,AA Obanda,DI Allan,MA Ouma,CO Obuya,T Mishra,RR Patel,RG Aga,NM Odhiambo,SO Ngoche,E Otieno,HA Varaiya,592268
Rizwan Cheema,H Patel,R Gunasekera,NR Kumar,Raza-ur-Rehman,AS Hansra,Usman Limbada,Hamza Tariq,Junaid Siddiqui,H Osinde,MS Aulakh,AA Obanda,IA Karim,MA Ouma,CO Obuya,T Mishra,RR Patel,RG Aga,NN Odhiambo,SO Ngoche,HA Varaiya,E Otieno,592269
Karim Sadiq,Nawroz Mangal,Mohammad Shahzad,Asghar Stanikzai,Gulbadin Naib,Mohammad Nabi,Samiullah Shenwari,Mirwais Ashraf,Hamid Hassan,Amir Hamza,Aftab Alam,RD Berrington,CS MacLeod,NM Carter,KJ Coetzer,MW Machan,PL Mommsen,MM Iqbal,D Murphy,I Wardlaw,RM Haq,GD Drummond,592272
Karim Sadiq,Nawroz Mangal,Mohammad Shahzad,Samiullah Shenwari,Mirwais Ashraf,Hamid Hassan,Amir Hamza,Gulbadin Naib,Aftab Alam,Asghar Stanikzai,Mohammad Nabi,RD Berrington,CS MacLeod,KJ Coetzer,MW Machan,PL Mommsen,MM Iqbal,D Murphy,RM Haq,I Wardlaw,GD Drummond,SM Sharif,592273
AA Obanda,T Mishra,MA Ouma,CO Obuya,RR Patel,RG Aga,SO Ngoche,NN Odhiambo,HA Varaiya,JO Ngoche,E Otieno,W Barresi,MR Swart,TLW Cooper,DLS van Bunge,TGJ Gruijters,TN de Grooth,MJG Rippon,Mudassar Bukhari,PM Seelaar,PA van Meekeren,Ahsan Malik,592276
AJ Healy,MM Lanning,JE Cameron,JM Fields,AJ Blackwell,EA Perry,RL Haynes,EA Osborne,SJ Coyte,JL Jonassen,JL Hunter,CM Edwards,HC Knight,SJ Taylor,DN Wyatt,NR Sciver,LS Greenway,A Brindle,JL Gunn,KH Brunt,D Hazell,A Shrubsole,593726
MM Lanning,AJ Healy,JE Cameron,AJ Blackwell,EA Perry,JM Fields,RL Haynes,EA Osborne,SJ Coyte,JL Hunter,HL Ferling,CM Edwards,HC Knight,SJ Taylor,DN Wyatt,LS Greenway,NR Sciver,A Brindle,JL Gunn,KH Brunt,D Hazell,HL Colvin,593727
AJ Healy,EJ Villani,MM Lanning,JE Cameron,JM Fields,AJ Blackwell,EA Perry,EA Osborne,SJ Coyte,JL Hunter,HL Ferling,CM Edwards,HC Knight,SJ Taylor,LS Greenway,NR Sciver,DN Wyatt,A Brindle,JL Gunn,KH Brunt,D Hazell,HL Colvin,593728
J Charles,LMP Simmons,DM Bravo,DJ Bravo,KA Pollard,D Ramdin,DJG Sammy,AD Russell,SP Narine,TL Best,S Badree,V Sibanda,H Masakadza,BRM Taylor,CR Ervine,MN Waller,CJ Chibhabha,CT Mutombodzi,P Utseya,N M'shangwe,KM Jarvis,CB Mpofu,593986
LMP Simmons,J Charles,DJ Bravo,CD Barnwell,KA Pollard,DJG Sammy,AD Russell,D Ramdin,SP Narine,S Badree,ST Gabriel,CJ Chibhabha,V Sibanda,H Masakadza,BRM Taylor,CR Ervine,MN Waller,CT Mutombodzi,P Utseya,TL Chatara,N M'shangwe,CB Mpofu,593987
Mohammad Ashraful,Shamsur Rahman,Jahurul Islam,Mushfiqur Rahim,Nasir Hossain,Mahmudullah,Mominul Haque,Sohag Gazi,Abdur Razzak,Shahadat Hossain,Rubel Hossain,MDKJ Perera,EMDY Munaweera,LD Chandimal,HDRL Thirimanne,AD Mathews,BMAJ Mendis,NLTC Perera,AK Perera,RMS Eranga,SL Malinga,SMSM Senanayake,602477
AC Jayangani,HML Madushani,KADA Kanchana,HMD Rasangika,HASD Siriwardene,LE Kaushalya,MADD Surangika,SS Weerakkody,CR Seneviratna,KDU Prabodhani,I Ranaweera,Kycia A Knight,DJS Dottin,JB Nero,Kyshona A Knight,MR Aguilleira,SF Daley,TD Smartt,SC Selman,SL Munroe,SA Campbelle,NY McLean,603243
AC Jayangani,PM Weerakkody,HMD Rasangika,HASD Siriwardene,KADA Kanchana,LE Kaushalya,SS Weerakkody,MADD Surangika,CR Seneviratna,KDU Prabodhani,I Ranaweera,Kycia A Knight,DJS Dottin,SR Taylor,Kyshona A Knight,MR Aguilleira,SF Daley,SA Campbelle,NY McLean,SC Selman,TD Smartt,SL Munroe,603244
BYA Mendis,PM Weerakkody,MDN Hansika,HASD Siriwardene,NND de Silva,HMD Rasangika,LE Kaushalya,MADD Surangika,KDU Prabodhani,OU Ranasinghe,HHC Gunaratne,DJS Dottin,JW Ogle-Thomas,JB Nero,Kycia A Knight,SL Quintyne,MR Aguilleira,SF Daley,SA Campbelle,SL Munroe,NY McLean,TD Smartt,603246
Tamim Iqbal,Shamsur Rahman,Shakib Al Hasan,Mushfiqur Rahim,Nasir Hossain,Mahmudullah,Ziaur Rahman,Sohag Gazi,Abdur Razzak,Shafiul Islam,Sajedul Islam,H Masakadza,V Sibanda,BRM Taylor,SC Williams,Sikandar Raza,MN Waller,CT Mutombodzi,T Panyangara,P Utseya,BV Vitori,TL Chatara,623571
Tamim Iqbal,Shamsur Rahman,Shakib Al Hasan,Mushfiqur Rahim,Nasir Hossain,Mahmudullah,Mominul Haque,Sohag Gazi,Abdur Razzak,Shafiul Islam,Robiul Islam,H Masakadza,V Sibanda,BRM Taylor,SC Williams,Sikandar Raza,MN Waller,SW Masakadza,P Utseya,N M'shangwe,T Panyangara,BV Vitori,623572
