player_id,Player,Country,Season,Cum Mat Total,Cum Inns Total,Cum Runs Total,Cum Batting Ave,Cum SR,Cumulative Mat,Cumulative Inns,Cumulative Overs,Cumulative Runs,Cumulative Wkts,Cumulative Econ,Cumulative Mat,Cumulative Inns,Cumulative Dis,Cumulative Ct,Cumulative St,Cumulative D/I
13598ebc,A Krishna,Singapore,2023/24,16,9,32,4.78,75.7,16,16.0,53.5,426.0,21.0,7.98,16,16.0,2.0,2.0,0.0,0.13
2bcbcac3,A Limdawala,Malawi,2022,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2bcbcac3,A Limdawala,Malawi,2022/23,3,1,0,0.0,0.0,3,1.0,2.0,18.0,0.0,9.0,3,3.0,0.0,0.0,0.0,0.0
2bcbcac3,A Limdawala,Malawi,2023,10,3,19,6.33,43.67,10,6.0,12.0,101.0,8.0,8.42,10,10.0,2.0,2.0,0.0,0.2
2bcbcac3,A Limdawala,Malawi,2023/24,13,5,32,9.0,45.46,13,7.0,15.0,135.0,8.0,8.83,13,13.0,6.0,6.0,0.0,0.46
2bcbcac3,A Limdawala,Malawi,2024,18,9,91,13.74,68.24,18,12.0,24.300000190734863,196.0,9.0,7.83,18,18.0,12.0,12.0,0.0,0.67
2bcbcac3,A Limdawala,Malawi,2024/25,28,16,249,25.01,83.27,28,19.0,42.40000057220459,309.0,15.0,7.24,28,28.0,17.0,17.0,0.0,0.61
d6a2f3a5,A Magdalenic,Croatia,2023,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
d6a2f3a5,A Magdalenic,Croatia,2024,6,5,9,1.8,25.71,6,2.0,2.200000047683716,42.0,0.0,18.0,6,5.0,0.0,0.0,0.0,0.0
3ec513ea,A Maheshwari,Croatia,2022,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
3ec513ea,A Maheshwari,Croatia,2023,3,3,3,1.0,33.33,3,0.0,0.0,0.0,0.0,0.0,3,3.0,0.0,0.0,0.0,0.0
3ec513ea,A Maheshwari,Croatia,2024,5,5,9,1.8,35.0,5,2.0,5.0,50.0,1.0,10.0,5,5.0,2.0,2.0,0.0,0.4
eebc0141,A Manatos,Greece,2021,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
36101309,A Manepalli,Luxembourg,2020,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
36101309,A Manepalli,Luxembourg,2021,2,2,14,7.0,107.69,2,0.0,0.0,0.0,0.0,0.0,2,2.0,3.0,3.0,0.0,1.5
36101309,A Manepalli,Luxembourg,2022,6,5,39,10.3,98.63,6,0.0,0.0,0.0,0.0,0.0,6,6.0,7.0,7.0,0.0,1.17
36101309,A Manepalli,Luxembourg,2024,7,6,45,9.58,93.3,7,0.0,0.0,0.0,0.0,0.0,7,7.0,8.0,8.0,0.0,1.14
b672e825,A Manousis,Greece,2019/20,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
b672e825,A Manousis,Greece,2021,3,3,52,26.0,106.12,3,0.0,0.0,0.0,0.0,0.0,3,3.0,2.0,2.0,0.0,0.67
