Player,Country,Season,Cumulative Mat,Cumulative Inns,Cumulative Dis,Cumulative Ct,Cumulative St,Cumulative D/I,player_id
A Nathwani,Austria,2023,20,20.0,3.0,3.0,0.0,0.15,f1c4f2ea
A Natubhai Ahir,Panama,2019,0,0.0,0.0,0.0,0.0,0.0,9c91218d
A Natubhai Ahir,Panama,2021/22,3,3.0,1.0,1.0,0.0,0.33,9c91218d
A Natubhai Ahir,Panama,2022/23,8,8.0,5.0,4.0,1.0,0.63,9c91218d
A Natubhai Ahir,Panama,2023/24,12,12.0,9.0,4.0,5.0,0.75,9c91218d
A Ndlovu,Zimbabwe,2019,0,0.0,0.0,0.0,0.0,0.0,3abe1ef6
A Ndlovu,Zimbabwe,2022,3,3.0,3.0,3.0,0.0,1.0,3abe1ef6
A Ndlovu,Zimbabwe,2023/24,6,6.0,3.0,3.0,0.0,0.5,3abe1ef6
A Ndlovu,Zimbabwe,2024,10,10.0,4.0,4.0,0.0,0.4,3abe1ef6
A Nehra,India,2009/10,0,0.0,0.0,0.0,0.0,0.0,96fd40ae
A Nehra,India,2010,2,2.0,1.0,1.0,0.0,0.5,96fd40ae
A Nehra,India,2010/11,7,7.0,2.0,2.0,0.0,0.29,96fd40ae
A Nehra,India,2015/16,8,8.0,3.0,3.0,0.0,0.38,96fd40ae
A Nehra,India,2016/17,23,23.0,4.0,4.0,0.0,0.17,96fd40ae
A Nehra,India,2017/18,26,26.0,4.0,4.0,0.0,0.15,96fd40ae
A Neill,Scotland,2018/19,0,0.0,0.0,0.0,0.0,0.0,4957b300
A Neill,Scotland,2019,1,1.0,1.0,1.0,0.0,1.0,4957b300
A Neill,Scotland,2019/20,4,4.0,4.0,4.0,0.0,1.0,4957b300
A Nel,South Africa,2005/06,0,0.0,0.0,0.0,0.0,0.0,2503e881
A Nel,South Africa,2007/08,1,1.0,1.0,1.0,0.0,1.0,2503e881
A Nimaga,Mali,2024,0,0.0,0.0,0.0,0.0,0.0,bc304f82
A Nortje,South Africa,2019/20,0,0.0,0.0,0.0,0.0,0.0,acdc62f5
A Nortje,South Africa,2020/21,3,3.0,0.0,0.0,0.0,0.0,acdc62f5
A Nortje,South Africa,2021,5,5.0,0.0,0.0,0.0,0.0,acdc62f5
A Nortje,South Africa,2021/22,11,11.0,1.0,1.0,0.0,0.09,acdc62f5
A Nortje,South Africa,2022,16,16.0,4.0,4.0,0.0,0.25,acdc62f5
A Nortje,South Africa,2022/23,22,22.0,6.0,6.0,0.0,0.27,acdc62f5
A Nortje,South Africa,2024,31,31.0,8.0,8.0,0.0,0.26,acdc62f5
A Orfila,Gibraltar,2019/20,0,0.0,0.0,0.0,0.0,0.0,7c6293d1
A Orfila,Gibraltar,2021,1,1.0,0.0,0.0,0.0,0.0,7c6293d1
A Osei,Ghana,2022/23,0,0.0,0.0,0.0,0.0,0.0,375322d1
A Osei,Ghana,2023/24,1,1.0,0.0,0.0,0.0,0.0,375322d1
A Osei,Ghana,2024,12,12.0,2.0,1.0,1.0,0.17,375322d1
A Otwani,Uganda,2019,0,0.0,0.0,0.0,0.0,0.0,6727fb4d
A Otwani,Uganda,2019/20,4,4.0,1.0,1.0,0.0,0.25,6727fb4d
A Otwani,Uganda,2021,7,7.0,1.0,1.0,0.0,0.14,6727fb4d
A Otwani,Uganda,2022,14,13.0,4.0,4.0,0.0,0.31,6727fb4d
A Parima,Cook Islands,2022,0,0.0,0.0,0.0,0.0,0.0,866d3ac8
A Parima,Cook Islands,2024,6,6.0,3.0,3.0,0.0,0.5,866d3ac8
A Paul,Estonia,2022,0,0.0,0.0,0.0,0.0,0.0,fa308279
A Paul,Estonia,2023,4,4.0,0.0,0.0,0.0,0.0,fa308279
A Paul,Estonia,2024,6,6.0,1.0,1.0,0.0,0.17,fa308279
A Poulose,Oman,2016/17,0,0.0,0.0,0.0,0.0,0.0,b481216d
A Prashar,Hungary,2023,0,0.0,0.0,0.0,0.0,0.0,b18dbaff
A Pusthay,Finland,2019,0,0.0,0.0,0.0,0.0,0.0,0393fbdc
A Pusthay,Finland,2021,5,5.0,2.0,2.0,0.0,0.4,0393fbdc
A Pusthay,Finland,2022,9,9.0,4.0,4.0,0.0,0.44,0393fbdc
A Rajshekara,Romania,2024,0,0.0,0.0,0.0,0.0,0.0,1f3e41fe
A Randhawa,Austria,2022,0,0.0,0.0,0.0,0.0,0.0,1798078c
A Randhawa,Austria,2023,8,8.0,1.0,1.0,0.0,0.13,1798078c
A Randhawa,Austria,2024,17,17.0,4.0,4.0,0.0,0.24,1798078c
A Rangaswamy,Botswana,2019,0,0.0,0.0,0.0,0.0,0.0,08df0bd3
A Rangaswamy,Botswana,2021/22,4,4.0,1.0,1.0,0.0,0.25,08df0bd3
A Reyes,Gibraltar,2021/22,0,0.0,0.0,0.0,0.0,0.0,fd2b8c06
A Reyes,Gibraltar,2022,3,3.0,0.0,0.0,0.0,0.0,fd2b8c06
A Reyes,Gibraltar,2023,9,9.0,3.0,3.0,0.0,0.33,fd2b8c06
A Reyes,Gibraltar,2023/24,16,16.0,4.0,4.0,0.0,0.25,fd2b8c06
A Reyes,Gibraltar,2024,20,20.0,6.0,6.0,0.0,0.3,fd2b8c06
A Sarma,Germany,2019,0,0.0,0.0,0.0,0.0,0.0,a5efce80
A Sarma,Germany,2019/20,3,3.0,1.0,1.0,0.0,0.33,a5efce80
A Sarma,Germany,2021,4,4.0,1.0,1.0,0.0,0.25,a5efce80
A Sathyan,Croatia,2024,0,0.0,0.0,0.0,0.0,0.0,ed47a68b
A Saud,Nepal,2022,0,0.0,0.0,0.0,0.0,0.0,94b8d7dd
A Sawyer,Gibraltar,2023/24,0,0.0,0.0,0.0,0.0,0.0,201d3a67
A Sawyer,Gibraltar,2024,2,2.0,0.0,0.0,0.0,0.0,201d3a67
A Shahi,Cyprus,2024,0,0.0,0.0,0.0,0.0,0.0,2011735e
A Shahzad,England,2009/10,0,0.0,0.0,0.0,0.0,0.0,a73321d3
A Shahzad,England,2010/11,1,1.0,0.0,0.0,0.0,0.0,a73321d3
A Sharafu,United Arab Emirates,2019/20,0,0.0,0.0,0.0,0.0,0.0,06cad4f0
A Sharafu,United Arab Emirates,2021/22,5,5.0,1.0,1.0,0.0,0.2,06cad4f0
A Sharafu,United Arab Emirates,2022/23,6,6.0,2.0,2.0,0.0,0.33,06cad4f0
A Sharafu,United Arab Emirates,2023/24,9,9.0,5.0,5.0,0.0,0.56,06cad4f0
A Sharafu,United Arab Emirates,2024,21,21.0,10.0,10.0,0.0,0.48,06cad4f0
A Sharma,United Arab Emirates,2023,0,0.0,0.0,0.0,0.0,0.0,5661ef90
A Sharma,United Arab Emirates,2023/24,9,9.0,8.0,6.0,2.0,0.89,5661ef90
A Sharma,United Arab Emirates,2024,11,11.0,10.0,8.0,2.0,0.91,5661ef90
A Shreshta,Nigeria,2021/22,0,0.0,0.0,0.0,0.0,0.0,4e9af8f6
A Shreshta,Nigeria,2022/23,12,12.0,13.0,12.0,1.0,1.08,4e9af8f6
A Shreshta,Nigeria,2023/24,19,19.0,20.0,18.0,2.0,1.05,4e9af8f6
A Shukla,Croatia,2024,0,0.0,0.0,0.0,0.0,0.0,c594137f
A Shukla,Hong Kong,2022,0,0.0,0.0,0.0,0.0,0.0,a1e80d06
A Shukla,Hong Kong,2023,7,7.0,0.0,0.0,0.0,0.0,a1e80d06
A Shukla,Hong Kong,2023/24,13,13.0,0.0,0.0,0.0,0.0,a1e80d06
A Shukla,Hong Kong,2024,25,24.0,5.0,5.0,0.0,0.21,a1e80d06
A Sokovagone,Fiji,2024,0,0.0,0.0,0.0,0.0,0.0,10e34eef
A Symonds,Australia,2004/05,0,0.0,0.0,0.0,0.0,0.0,bd77eb62
A Symonds,Australia,2005,1,1.0,0.0,0.0,0.0,0.0,bd77eb62
A Symonds,Australia,2005/06,2,2.0,1.0,1.0,0.0,0.5,bd77eb62
A Symonds,Australia,2006/07,3,3.0,1.0,1.0,0.0,0.33,bd77eb62
