Player
Nader Zahadiafzal
Ziaur Rahman
B Laughlin
NH Ekanayake
SM Davies
Nurul Hasan
I Mugisha
Rameez Shahzad
Shabbir Ahmed
A Gorawara
Abdul Majid
AJ Staal
DR Briggs
Nauman Anwar
Baljinder Singh
BN Cooper
Noorullah Sidiqi
Saad Khan
V Permaul
GA Rogers
Iftikhar Ahmed
MIA Patel
R Siriwardena
PP Ojha
S Joseph
NT Tilak Varma
RW Price
Imran Butt
T Martin
H Klazinge
R Frylinck
Jatinder Singh
U Sorovakatini
PKD Chase
GC Tonge
JA Burns
N Acawei
NS Poonia
Ivan Splicevic
Sherul Mehta
Zeeshan Khan
Nasir Aziz
Emran Shahbakhsh
Mohammad Asif
Zahid Abbas
B Mavuta
Amir Hamza
S Vesawkar
CJ Bowes
CJ Jordan
Syed Maisam Ali
D Jakiel
H Davids
WD Parnell
H Thaker
KM Jadhav
R Pathan
N Mapunda
AB Dinda
Jaspal Singh
Riazat Ali Shah
LSP Siriwardene
T Rajiv
E Beukes
R Nehonde
LJ Myott
Umran Malik
Faizan Mumtaz
Adnan Syed
NJV Aburto
Raees Ahmadzai
M Campopiano
Khalid Shah
S Chophel
GC Galanis
Nawaf Ahmed
GRD Munasinghe
Kashif Daud
PDRL Perera
Sadeeq Khan
N Nazmussakib
Zahid Zadran
KO Otieno
PP Chawla
Aqeel Wahid
MPS Cheema
D Ganesh
S Wickramasekara
AM Tribe
PA Nixon
P Sibiya
Mohammad Rizwan
Alok Kapali
AR Naidoo
Hamed Khan
Mohammad Asaduzzaman
GMC Mol
DT Christian
S Keshvani
D Faletar
Sohag Gazi
D Tresac
Jaswinder Singh
GEF Barnett
M Spry
R Thapliyal
R Pillai
Ovais Yousof
Waji Ul Hassan
DM Richards
B Ward
JD Wildermuth
MHSMS Amaradasa
BA King
AJ McKay
NN Odhiambo
Ritik Tomar
RR Saun
AA Onikoyi
S Bogdos
SK Atai
D Robson
CO Obuya
OEG Baartman
D Brevis
C Udekwe
O Goker
TR Birt
MK Gnanasekaram
Absar Khan
A Sarma
Michael Nazir
MG Bracewell
SE Aquilina
Lokesh Bam
J Anderson
H Pile
L Louwrens
C Kieswetter
Bipin Kumar
Dylan Steyn
Saber Zakhil
K Klein
MS Wade
Wang Qi
U Dorji
RML Taylor
DK Dahyabhai Ahir
Aftab Ahmed (DEN)
JC Darji
Arslan Amjad
DE Burgess
CR Foggo
AL Kerai
Raja Shoaib
CJ Dala
Rafatullah Mohmand
T Cross
DJG Sammy
JJ Huo
DJM Short
A Manepalli
RDM Leverock
L Siaka
PV Naringrekar
P Jayeshbhai Patel
NT Broom
C Kyewuta
Imrul Kayes
Imran Khan
Karim Janat
BJ Haddin
